N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
1,SN 1988U,SN*,00 14 24,-30 25.7,,,22.3,,,~,17,1
2,M 31,G,00 42 44.330,+41 16 07.50,4.86,4.36,3.44,,,~,11915,1
3,NAME SMC,G,00 52 38.0,-72 48 01,,2.79,2.2,,,~,10339,1
4,SN 1995ao,SN*,02 57 30.70,-01 41 19.8,,,,21.5,,SNIa,14,1
5,SN 1995ap,SN*,03 12 28.13,+00 41 43.4,,,,21.5,,SNIa,12,1
6,SN 1992A,SN*,03 36 27.41,-34 57 31.4,,12.56,12.5,,,SNIa,395,1
7,NAME LMC,G,05 23 34.6,-69 45 22,,,0.4,,,~,16206,1
8,SN 1995E,SN*,07 51 56.75,+73 00 34.6,,16.81,15.9,,,SNIa,114,1
9,SN 1994B,SN*,08 20 40.90,+15 43 48.2,,19.62,19.0,,,SNIa,12,1
10,SN 1996K,SN*,08 24 43.49,-00 21 06.2,,,,23.0,,SNIa,16,1
11,SN 1996T,SN*,10 05 27.66,-07 27 23.9,,,,21.0,,SNIa,10,1
12,SN 1996E,SN*,10 10 20.28,-12 33 09.2,,,,22.2,,SNIa,14,1
13,SN 1996R,SN*,11 16 10.36,-00 11 39.3,,,,20.6,,SNIa,12,1
14,SN 1989B,SN*,11 20 13.93,+13 00 18.9,,12.25,,,,SNIa,354,1
15,SN 1996U,SN*,11 50 33.51,+10 26 45.4,,,,22.2,,SNIa,15,1
16,SN 1996I,SN*,12 00 39.43,-00 16 02.4,,,,23.0,,SNIa,17,1
17,SN 1991bg,SN*,12 25 03.70,+12 52 15.6,,14.75,14.3,,,SNIapec,567,1
18,SN 1996H,SN*,12 28 52.78,-00 05 41.0,,,,22.8,,SNIa,15,1
19,SN 1991T,SN*,12 34 10.20,+02 39 56.4,,11.7,11.51,,,SNIapec,742,1
20,SN 1981B,SN*,12 34 29.57,+02 11 59.3,,11.74,,,,SNIa,394,1
21,SN 1997cj,SN*,12 37 04.27,+62 26 24.9,,,,,22.8,SNIa,19,1
22,SN 1990N,SN*,12 42 56.68,+13 15 23.4,,12.69,12.62,,,SNIa,384,1
23,SN 1986G,SN*,13 25 36.46,-43 01 53.6,,12.45,11.44,,,SNIapec,396,1
24,SN 1972E,SN*,13 39 52.7,-31 40 09,,8.49,8.3,,,SNIa,301,1
25,NGC 5253,AGN,13 39 55.990,-31 38 24.11,11.48,10.94,10.49,10.33,,~,1316,4
26,SN 1998ai,SN*,13 42 27.59,-00 06 47.2,,,,,22.7,SNIa,6,1
27,SN 1992bi,SN*,16 10 12.79,+39 47 12.5,,,,22.12,,SNIa,30,1
28,SN 1997ck,SN*,16 53 00.27,+35 03 46.4,,,,,24.0,~,21,1
29,SN 1997ce,SN*,17 07 48.26,+44 01 26.2,,,,,23.3,SNIa,17,1
30,SN 1992ar,SN*,23 17 28.40,-44 38 53.8,,20.7,,,,SNIc,28,1
